Code,Code2,Name,Timedif:number,Timedif2:number
"599","0","NETHERLANDS ANTILLES","-4.00","0.00"
"687","0","NEW CALENONIA","11.00","0.00"
"64","0","NEW ZEALAND","12.00","0.00"
"505","0","NICARAGUA","-6.00","0.00"
"227","0","NIGER","1.00","0.00"
"234","0","NIGERIA","1.00","0.00"
"683","0","NIUE IS.","-11.00","0.00"
"672","0","NORFOLK IS.","11.00","0.00"
"47","0","NORWAY","1.00","0.00"
"968","0","OMAN","4.00","0.00"
"92","0","PAKISTAN","5.00","0.00"
"680","0","PALAU","9.00","0.00"
"507","0","PANAMA","-5.00","0.00"
"675","0","PAPUA NEW GUINEA","10.00","0.00"
"595","0","PARAGUAY","-4.00","0.00"
"51","0","PERU","-5.00","0.00"
"63","0","PHILIPPINES","8.00","0.00"
"48","0","POLAND","1.00","0.00"
"351","0","PORTUGAL","1.00","0.00"
"1","787","PUERTO RICO","-4.00","0.00"
"974","0","QATAR","3.00","0.00"
"262","0","REUNION","4.00","0.00"
"40","0","ROMANIA","2.00","0.00"
"7","0","RUSSIA","3.00","0.00"
"250","0","RWANDA","2.00","0.00"
"684","0","SAMOA (AMERICAN)","-11.00","0.00"
"685","0","SAMOA (WESTERN)","-11.00","0.00"
"378","0","SAN MARINO","1.00","0.00"
"239","0","SAO TOME & PRINCIPE","0.00","0.00"
"966","0","SAUDI ARABIA","3.00","0.00"
"221","0","SENEGAL","0.00","0.00"
"381","0","SERBIA & MONTENEGRO","1.00","0.00"
"248","0","SEYCHELLES","4.00","0.00"
"232","0","SIERRA LEONE","0.00","0.00"
"65","0","SINGAPORE","8.00","0.00"
"42","0","SLOVAK REPUBLIC","1.00","0.00"
"386","0","SLOVENIA","1.00","0.00"
"677","0","SOLOMON ISLANDS","11.00","0.00"
"252","0","SOMALIA","3.00","0.00"
"27","0","SOUTH AFRICA","2.00","0.00"
"34","0","SPAIN","1.00","0.00"
"94","0","SRI LANKA","6.00","0.00"
"290","0","ST HELENA","0.00","0.00"
"1","809","ST KITTS + NEVIS","-4.00","0.00"
"1","758","ST LUCIA","-4.00","0.00"
"508","0","ST PIERRE + MIQUELON","-4.00","0.00"
"1","809","ST VINCENT + THE GRENADINES","-4.00","0.00"
"249","0","SUDAN","2.00","0.00"
"597","0","SURINAM","-3.00","0.00"
"268","0","SWAZILAND","2.00","0.00"
"46","0","SWEDEN","1.00","0.00"
"41","0","SWITZERLAND","1.00","0.00"
"963","0","SYRIA","2.00","0.00"
"886","0","TAIWAN","8.00","0.00"
"7","0","TAJIKSTAN","6.00","0.00"
"255","0","TANZANIA","3.00","0.00"
"66","0","THAILAND","7.00","0.00"
"220","0","THE GAMBIA","0.00","0.00"
"228","0","TOGO","0.00","0.00"
"676","0","TONGA","13.00","0.00"
"1","0","TRINIDAD + TOBAGO","10.00","0.00"
"216","0","TUNISIA","1.00","0.00"
"90","0","TURKEY","2.00","0.00"
